지진 탐지 일시	진앙지역명	매그니튜드(규모)	최대 진도	발표 일시
2024/01/04 08:11	이시카와 현 노토 지방	3.4	2	2024/01/04 08:14
2024/01/04 08:09	이시카와 현 노토 지방	2.8	1	2024/01/04 08:11
2024/01/04 08:06	이시카와 현 노토 지방	3.3	1	2024/01/04 08:08
2024/01/04 07:47	이시카와 현 노토 지방	3.1	2	2024/01/04 07:50
2024/01/04 07:29	이시카와 현 노토 지방	3.1	1	2024/01/04 07:32
2024/01/04 06:51	이시카와 현 노토 지방	3.2	1	2024/01/04 06:55
2024/01/04 06:02	노토 반도	2.7	2	2024/01/04 06:06
2024/01/04 05:51	이시카와 현 노토 지방	3.5	1	2024/01/04 05:55
2024/01/04 05:31	이시카와 현 노토 지방	2.1	1	2024/01/04 05:35
2024/01/04 05:16	이시카와 현 노토 지방	3.7	2	2024/01/04 05:20
2024/01/04 05:14	이시카와 현 노토 지방	3.4	1	2024/01/04 05:17
2024/01/04 04:38	사도 부근	4.9	2	2024/01/04 04:41
2024/01/04 04:35	노토 반도	2.3	1	2024/01/04 04:38
2024/01/04 04:32	노토 반도	2.3	1	2024/01/04 04:35
2024/01/04 04:27	이시카와 현 노토 지방	2.8	1	2024/01/04 04:29
2024/01/04 04:16	이시카와 현 노토 지방	2.0	1	2024/01/04 04:22
2024/01/04 04:04	노토 반도	2.7	1	2024/01/04 04:06
2024/01/04 03:58	노토 반도	2.3	1	2024/01/04 04:01
2024/01/04 03:18	이시카와 현 노토 지방	3.1	2	2024/01/04 03:21
2024/01/04 02:47	노토 반도	2.2	1	2024/01/04 02:50
2024/01/04 02:32	이시카와 현 노토 지방	2.4	1	2024/01/04 02:35
2024/01/04 02:25	이시카와 현 노토 지방	3.5	1	2024/01/04 02:27
2024/01/04 02:03	노토 반도	2.6	2	2024/01/04 02:06
2024/01/04 01:18	이시카와 현 노토 지방	2.7	1	2024/01/04 01:20
2024/01/04 00:56	노토 반도	3.6	1	2024/01/04 00:58
2024/01/04 00:36	노토 반도	4.8	4	2024/01/04 00:40
2024/01/04 00:29	이시카와 현 노토 지방	3.6	1	2024/01/04 00:32
2024/01/04 00:12	이시카와 현 노토 지방	4.0	2	2024/01/04 00:15
2024/01/04 00:06	노토 반도	2.5	1	2024/01/04 00:09
2024/01/03 23:33	이시카와 현 노토 지방	4.2	3	2024/01/03 23:36
2024/01/03 23:27	노토 반도	2.4	2	2024/01/03 23:30
2024/01/03 22:33	노토 반도	3.2	1	2024/01/03 22:36
2024/01/03 22:26	이시카와 현 노토 지방	3.4	3	2024/01/03 22:30
2024/01/03 22:09	사도 부근	4.0	1	2024/01/03 22:13
2024/01/03 22:07	이시카와 현 노토 지방	3.2	1	2024/01/03 22:11
2024/01/03 22:05	이시카와 현 노토 지방	2.3	2	2024/01/03 22:08
2024/01/03 21:50	이시카와 현 노토 지방	3.4	2	2024/01/03 21:52
2024/01/03 21:42	이시카와 현 노토 지방	3.2	2	2024/01/03 21:45
2024/01/03 21:32	이시카와 현 노토 지방	3.0	1	2024/01/03 21:35
2024/01/03 21:31	노토 반도	2.8	1	2024/01/03 21:33
2024/01/03 21:28	이시카와 현 노토 지방	3.8	1	2024/01/03 21:31
2024/01/03 21:23	이시카와 현 노토 지방	2.6	1	2024/01/03 21:27
2024/01/03 21:12	이시카와 현 노토 지방	2.8	1	2024/01/03 21:15
2024/01/03 21:04	이시카와 현 노토 지방	2.0	1	2024/01/03 21:07
2024/01/03 20:55	노토 반도	3.6	3	2024/01/03 20:57
2024/01/03 20:48	이시카와 현 노토 지방	3.8	3	2024/01/03 20:52
2024/01/03 20:45	사도 부근	3.2	2	2024/01/03 20:49
2024/01/03 20:07	이시카와 현 노토 지방	2.7	1	2024/01/03 20:09
2024/01/03 19:49	니가타 현상 주에쓰 오키	4.1	2	2024/01/03 19:52
2024/01/03 19:42	이시카와 현 노토 지방	4.0	3	2024/01/03 19:45
2024/01/03 19:39	노토 반도	3.1	1	2024/01/03 19:41
2024/01/03 19:34	이시카와 현 노토 지방	3.6	2	2024/01/03 19:37
2024/01/03 19:14	이시카와 현 노토 지방	2.7	1	2024/01/03 19:17
2024/01/03 19:07	이시카와 현 노토 지방	3.7	2	2024/01/03 19:10
2024/01/03 19:01	노토 반도	3.7	2	2024/01/03 19:03
2024/01/03 18:57	이시카와 현 노토 지방	2.2	1	2024/01/03 19:00
2024/01/03 18:48	이시카와 현 노토 지방	4.8	4	2024/01/03 18:52
2024/01/03 18:40	이시카와 현 노토 지방	2.7	1	2024/01/03 18:43
2024/01/03 18:18	노토 반도	2.9	1	2024/01/03 18:21
2024/01/03 18:08	노토 반도	3.2	1	2024/01/03 18:10
2024/01/03 17:57	노토 반도	2.6	1	2024/01/03 18:00
