지진 탐지 일시	진앙지역명	매그니튜드(규모)	최대 진도	발표 일시	위도	경도
2024/01/04 08:11	이시카와 현 노토 지방	3.4	2	2024/01/04 08:14	37.2	136.9
2024/01/04 08:09	이시카와 현 노토 지방	2.8	1	2024/01/04 08:11	37.2	136.8
2024/01/04 08:06	이시카와 현 노토 지방	3.3	1	2024/01/04 08:08	37.2	136.7
2024/01/04 07:47	이시카와 현 노토 지방	3.1	2	2024/01/04 07:50	37.2	136.7
2024/01/04 07:29	이시카와 현 노토 지방	3.1	1	2024/01/04 07:32	37.4	137.0
2024/01/04 06:51	이시카와 현 노토 지방	3.2	1	2024/01/04 06:55	37.4	137.0
2024/01/04 06:02	노토 반도	2.7	2	2024/01/04 06:06	37.1	136.7
2024/01/04 05:51	이시카와 현 노토 지방	3.5	1	2024/01/04 05:55	37.3	136.8
2024/01/04 05:31	이시카와 현 노토 지방	2.1	1	2024/01/04 05:35	37.1	136.8
2024/01/04 05:16	이시카와 현 노토 지방	3.7	2	2024/01/04 05:20	37.2	136.7
2024/01/04 05:14	이시카와 현 노토 지방	3.4	1	2024/01/04 05:17	37.4	137.1
2024/01/04 04:38	사도 부근	4.9	2	2024/01/04 04:41	37.8	137.9
2024/01/04 04:35	노토 반도	2.3	1	2024/01/04 04:38	37.1	136.7
2024/01/04 04:32	노토 반도	2.3	1	2024/01/04 04:35	37.2	136.6
2024/01/04 04:27	이시카와 현 노토 지방	2.8	1	2024/01/04 04:29	37.2	136.7
2024/01/04 04:16	이시카와 현 노토 지방	2.0	1	2024/01/04 04:22	37.4	136.9
2024/01/04 04:04	노토 반도	2.7	1	2024/01/04 04:06	37.2	136.6
2024/01/04 03:58	노토 반도	2.3	1	2024/01/04 04:01	37.4	136.8
2024/01/04 03:18	이시카와 현 노토 지방	3.1	2	2024/01/04 03:21	37.4	136.9
2024/01/04 02:47	노토 반도	2.2	1	2024/01/04 02:50	37.1	136.7
2024/01/04 02:32	이시카와 현 노토 지방	2.4	1	2024/01/04 02:35	37.2	136.7
2024/01/04 02:25	이시카와 현 노토 지방	3.5	1	2024/01/04 02:27	37.5	137.2
2024/01/04 02:03	노토 반도	2.6	2	2024/01/04 02:06	37.4	136.8
2024/01/04 01:18	이시카와 현 노토 지방	2.7	1	2024/01/04 01:20	37.4	137.0
2024/01/04 00:56	노토 반도	3.6	1	2024/01/04 00:58	37.5	137.1
2024/01/04 00:36	노토 반도	4.8	4	2024/01/04 00:40	37.5	137.1
2024/01/04 00:29	이시카와 현 노토 지방	3.6	1	2024/01/04 00:32	37.5	137.3
